,T,lambda,gamma,strategy
868,10,0.25,11,70
869,10,0.25,11,60
870,10,0.25,11,50
871,10,0.25,11,60
872,10,0.25,11,70
873,10,0.25,11,70
874,10,0.25,11,50
875,10,0.25,11,80
876,10,0.25,11,50
877,10,0.25,11,70
878,10,0.25,11,70
879,10,0.25,11,70
880,10,0.25,11,80
881,10,0.25,11,80
882,10,0.25,11,80
883,10,0.25,11,80
884,10,0.25,11,60
885,10,0.25,11,60
886,10,0.25,11,60
887,10,0.25,11,80
888,10,0.25,11,80
889,10,0.25,11,80
890,10,0.25,11,70
891,10,0.25,11,50
892,10,0.25,11,70
893,10,0.25,11,60
894,10,0.25,11,70
895,10,0.25,11,70
896,10,0.25,11,80
897,10,0.25,11,40
898,10,0.25,11,70
899,10,0.25,11,50
900,10,0.25,11,40
901,10,0.25,11,50
902,10,0.25,11,70
903,10,0.25,11,80
904,10,0.25,11,60
905,10,0.25,11,70
906,10,0.25,11,70
907,10,0.25,11,70
908,10,0.25,11,80
909,10,0.25,11,80
910,10,0.25,11,80
911,10,0.25,11,70
912,10,0.25,11,70
913,10,0.25,11,80
914,10,0.25,11,70
915,10,0.25,11,60
916,10,0.25,11,80
917,10,0.25,11,80
918,10,0.25,11,70
919,10,0.25,11,80
920,10,0.25,11,70
921,10,0.25,11,60
922,10,0.25,11,70
923,10,0.25,11,70
924,10,0.25,11,80
925,10,0.25,11,70
926,10,0.25,11,50
927,10,0.25,11,80
928,10,0.25,11,80
929,10,0.25,11,80
930,10,0.25,11,70
931,10,0.25,11,70
932,10,0.25,11,70
933,10,0.25,11,80
934,10,0.25,11,80
935,10,0.25,11,60
936,10,0.25,11,80
937,10,0.25,11,80
938,10,0.25,11,80
939,10,0.25,11,60
940,10,0.25,11,80
941,10,0.25,11,80
942,10,0.25,11,80
943,10,0.25,11,50
944,10,0.25,11,80
945,10,0.25,11,70
946,10,0.25,11,80
947,10,0.25,11,60
948,10,0.25,11,60
949,10,0.25,11,70
950,10,0.25,11,80
951,10,0.25,11,70
952,10,0.25,11,80
953,10,0.25,11,70
954,10,0.25,11,80
955,10,0.25,11,60
956,10,0.25,11,60
957,10,0.25,11,50
958,10,0.25,11,70
959,10,0.25,11,80
960,10,0.25,11,80
961,10,0.25,11,70
962,10,0.25,11,60
963,10,0.25,11,70
964,10,0.25,11,50
965,10,0.25,11,60
966,10,0.25,11,80
967,10,0.25,11,80
968,10,0.25,11,70
969,10,0.25,11,70
970,10,0.25,11,70
971,10,0.25,11,70
972,10,0.25,11,60
973,10,0.25,11,80
974,10,0.25,11,70
975,10,0.25,11,40
976,10,0.25,11,70
977,10,0.25,11,50
978,10,0.25,11,70
979,10,0.25,11,80
980,10,0.25,11,80
981,10,0.25,11,50
982,10,0.25,11,70
983,10,0.25,11,50
984,10,0.25,11,50
985,10,0.25,11,80
986,10,0.25,11,80
987,10,0.25,11,80
988,10,0.25,11,80
989,10,0.25,11,80
990,10,0.25,11,80
991,10,0.25,11,60
992,10,0.25,11,70
993,10,0.25,11,70
994,10,0.25,11,80
995,10,0.25,11,60
996,10,0.25,11,70
997,10,0.25,11,70
998,10,0.25,11,70
999,10,0.25,11,70
1000,10,0.25,11,70
1001,10,0.25,11,70
1002,10,0.25,11,70
1003,10,0.25,11,50
1004,10,0.25,11,60
1005,10,0.25,11,60
1006,10,0.25,11,80
1007,10,0.25,11,60
1008,10,0.25,11,80
1009,10,0.25,11,80
1010,10,0.25,11,70
1011,10,0.25,11,80
1012,10,0.25,11,70
1013,10,0.25,11,70
1014,10,0.25,11,70
1015,10,0.25,11,70
1016,10,0.25,11,70
1017,10,0.25,11,70
1018,10,0.25,11,70
1019,10,0.25,11,80
1020,10,0.25,11,70
1021,10,0.25,11,60
1022,10,0.25,11,60
1023,10,0.25,11,80
1024,10,0.25,11,80
1025,10,0.25,11,80
1026,10,0.25,11,80
1027,10,0.25,11,70
1028,10,0.25,11,70
1029,10,0.25,11,70
1030,10,0.25,11,70
1031,10,0.25,11,70
1032,10,0.25,11,60
1033,10,0.25,11,80
1034,10,0.25,11,80
1035,10,0.25,11,60
1036,10,0.25,11,80
1037,10,0.25,11,50
1038,10,0.25,11,60
1039,10,0.25,11,80
1040,10,0.25,11,40
1041,10,0.25,11,80
1042,10,0.25,11,80
1043,10,0.25,11,60
1044,10,0.25,11,60
1045,10,0.25,11,70
1046,10,0.25,11,80
1047,10,0.25,11,70
1048,10,0.25,11,70
1049,10,0.25,11,60
1050,10,0.25,11,70
1051,10,0.25,11,80
1052,10,0.25,11,70
1053,10,0.25,11,50
1054,10,0.25,11,60
1055,10,0.25,11,70
1056,10,0.25,11,80
1057,10,0.25,11,30
1058,10,0.25,11,80
1059,10,0.25,11,50
1060,10,0.25,11,80
1061,10,0.25,11,80
1062,10,0.25,11,30
1063,10,0.25,11,60
1064,10,0.25,11,60
1065,10,0.25,11,60
1066,10,0.25,11,70
1067,10,0.25,11,40
1068,10,0.25,11,70
1069,10,0.25,11,60
1070,10,0.25,11,70
1071,10,0.25,11,60
1072,10,0.25,11,80
1073,10,0.25,11,70
1074,10,0.25,11,80
1075,10,0.25,11,60
1076,10,0.25,11,80
1077,10,0.25,11,60
1078,10,0.25,11,60
1079,10,0.25,11,70
1080,10,0.25,11,80
1081,10,0.25,11,60
1082,10,0.25,11,40
1083,10,0.25,11,60
1084,10,0.25,11,70
1085,10,0.25,11,60
1086,10,0.25,11,70
1087,10,0.25,11,80
1088,10,0.25,11,80
1089,10,0.25,11,70
1090,10,0.25,11,80
1091,10,0.25,11,40
1092,10,0.25,11,60
1093,10,0.25,11,60
1094,10,0.25,11,60
1095,10,0.25,11,70
1096,10,0.25,11,70
1097,10,0.25,11,80
1098,10,0.25,11,80
1099,10,0.25,11,50
1100,10,0.25,11,60
1101,10,0.25,11,70
1102,10,0.25,11,30
1103,10,0.25,11,80
1104,10,0.25,11,60
1105,10,0.25,11,50
1106,10,0.25,11,60
1107,10,0.25,11,70
1108,10,0.25,11,50
1109,10,0.25,11,60
1110,10,0.25,11,70
1111,10,0.25,11,80
1112,10,0.25,11,70
1113,10,0.25,11,50
1114,10,0.25,11,80
1115,10,0.25,11,70
1116,10,0.25,11,80
1117,10,0.25,11,70
1118,10,0.25,11,70
1119,10,0.25,11,20
1120,10,0.25,11,60
1121,10,0.25,11,80
1122,10,0.25,11,60
1123,10,0.25,11,70
1124,10,0.25,11,70
1125,10,0.25,11,60
1126,10,0.25,11,70
1127,10,0.25,11,50
1128,10,0.25,11,40
1129,10,0.25,11,60
1130,10,0.25,11,40
1131,10,0.25,11,40
1132,10,0.25,11,60
1133,10,0.25,11,80
1134,10,0.25,11,80
1135,10,0.25,11,60
1136,10,0.25,11,70
1137,10,0.25,11,70
1138,10,0.25,11,60
1139,10,0.25,11,70
1140,10,0.25,11,70
1141,10,0.25,11,70
1142,10,0.25,11,80
1143,10,0.25,11,50
1144,10,0.25,11,80
1145,10,0.25,11,70
1146,10,0.25,11,80
1147,10,0.25,11,50
