,T,lambda,gamma,strategy
932,10,0.25,,coop
933,10,0.25,,coop
934,10,0.25,,coop
935,10,0.25,,coop
936,10,0.25,,coop
937,10,0.25,,coop
938,10,0.25,,coop
939,10,0.25,,coop
940,10,0.25,,coop
941,10,0.25,,coop
942,10,0.25,,coop
943,10,0.25,,coop
944,10,0.25,,coop
945,10,0.25,,coop
946,10,0.25,,coop
947,10,0.25,,coop
948,10,0.25,,coop
949,10,0.25,,coop
950,10,0.25,,coop
951,10,0.25,,coop
952,10,0.25,,defect
953,10,0.25,,coop
954,10,0.25,,coop
955,10,0.25,,coop
956,10,0.25,,coop
957,10,0.25,,coop
958,10,0.25,,coop
959,10,0.25,,coop
960,10,0.25,,coop
961,10,0.25,,coop
962,10,0.25,,coop
963,10,0.25,,coop
964,10,0.25,,coop
965,10,0.25,,coop
966,10,0.25,,defect
967,10,0.25,,coop
968,10,0.25,,coop
969,10,0.25,,coop
970,10,0.25,,coop
971,10,0.25,,coop
972,10,0.25,,coop
973,10,0.25,,coop
974,10,0.25,,coop
975,10,0.25,,coop
976,10,0.25,,coop
977,10,0.25,,coop
978,10,0.25,,coop
979,10,0.25,,coop
980,10,0.25,,coop
981,10,0.25,,coop
982,10,0.25,,coop
983,10,0.25,,coop
984,10,0.25,,defect
985,10,0.25,,coop
986,10,0.25,,coop
987,10,0.25,,coop
988,10,0.25,,coop
989,10,0.25,,coop
990,10,0.25,,coop
991,10,0.25,,coop
992,10,0.25,,coop
993,10,0.25,,coop
994,10,0.25,,coop
995,10,0.25,,coop
996,10,0.25,,coop
997,10,0.25,,coop
998,10,0.25,,coop
999,10,0.25,,coop
1000,10,0.25,,coop
1001,10,0.25,,coop
1002,10,0.25,,coop
1003,10,0.25,,coop
1004,10,0.25,,coop
1005,10,0.25,,coop
1006,10,0.25,,coop
1007,10,0.25,,coop
1008,10,0.25,,coop
1009,10,0.25,,coop
1010,10,0.25,,coop
1011,10,0.25,,coop
1012,10,0.25,,coop
1013,10,0.25,,coop
1014,10,0.25,,coop
1015,10,0.25,,coop
1016,10,0.25,,coop
1017,10,0.25,,coop
1018,10,0.25,,coop
1019,10,0.25,,coop
1020,10,0.25,,coop
1021,10,0.25,,defect
1022,10,0.25,,coop
1023,10,0.25,,coop
1024,10,0.25,,coop
1025,10,0.25,,coop
1026,10,0.25,,coop
1027,10,0.25,,defect
1028,10,0.25,,coop
1029,10,0.25,,coop
1030,10,0.25,,coop
1031,10,0.25,,coop
1032,10,0.25,,defect
1033,10,0.25,,coop
1034,10,0.25,,coop
1035,10,0.25,,coop
1036,10,0.25,,coop
1037,10,0.25,,coop
1038,10,0.25,,coop
1039,10,0.25,,coop
1040,10,0.25,,coop
1041,10,0.25,,coop
1042,10,0.25,,coop
1043,10,0.25,,coop
1044,10,0.25,,coop
1045,10,0.25,,coop
1046,10,0.25,,coop
1047,10,0.25,,coop
1048,10,0.25,,coop
1049,10,0.25,,coop
1050,10,0.25,,coop
1051,10,0.25,,coop
1052,10,0.25,,coop
1053,10,0.25,,coop
1054,10,0.25,,coop
1055,10,0.25,,coop
1056,10,0.25,,coop
1057,10,0.25,,coop
1058,10,0.25,,coop
1059,10,0.25,,coop
1060,10,0.25,,coop
1061,10,0.25,,coop
1062,10,0.25,,coop
1063,10,0.25,,coop
1064,10,0.25,,coop
1065,10,0.25,,coop
1066,10,0.25,,coop
1067,10,0.25,,coop
1068,10,0.25,,coop
1069,10,0.25,,coop
1070,10,0.25,,coop
1071,10,0.25,,coop
1072,10,0.25,,coop
1073,10,0.25,,coop
1074,10,0.25,,coop
1075,10,0.25,,coop
1076,10,0.25,,coop
1077,10,0.25,,coop
1078,10,0.25,,coop
1079,10,0.25,,coop
1080,10,0.25,,coop
1081,10,0.25,,coop
1082,10,0.25,,defect
1083,10,0.25,,coop
1084,10,0.25,,coop
1085,10,0.25,,coop
1086,10,0.25,,coop
1087,10,0.25,,coop
1088,10,0.25,,coop
1089,10,0.25,,coop
1090,10,0.25,,coop
1091,10,0.25,,coop
1092,10,0.25,,coop
1093,10,0.25,,coop
1094,10,0.25,,coop
1095,10,0.25,,coop
1096,10,0.25,,coop
1097,10,0.25,,coop
1098,10,0.25,,coop
1099,10,0.25,,coop
1100,10,0.25,,coop
1101,10,0.25,,coop
1102,10,0.25,,coop
1103,10,0.25,,coop
1104,10,0.25,,coop
1105,10,0.25,,coop
1106,10,0.25,,coop
1107,10,0.25,,coop
1108,10,0.25,,coop
1109,10,0.25,,coop
1110,10,0.25,,coop
1111,10,0.25,,coop
1112,10,0.25,,coop
1113,10,0.25,,coop
1114,10,0.25,,coop
1115,10,0.25,,coop
1116,10,0.25,,coop
1117,10,0.25,,coop
1118,10,0.25,,coop
1119,10,0.25,,coop
1120,10,0.25,,coop
1121,10,0.25,,coop
1122,10,0.25,,coop
1123,10,0.25,,defect
1124,10,0.25,,coop
1125,10,0.25,,coop
1126,10,0.25,,coop
1127,10,0.25,,coop
1128,10,0.25,,coop
1129,10,0.25,,coop
1130,10,0.25,,coop
1131,10,0.25,,coop
1132,10,0.25,,coop
1133,10,0.25,,coop
1134,10,0.25,,coop
1135,10,0.25,,coop
1136,10,0.25,,coop
1137,10,0.25,,coop
1138,10,0.25,,coop
1139,10,0.25,,coop
1140,10,0.25,,coop
1141,10,0.25,,coop
1142,10,0.25,,coop
1143,10,0.25,,coop
1144,10,0.25,,coop
1145,10,0.25,,coop
1146,10,0.25,,coop
1147,10,0.25,,coop
